Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Lawrence Heights Community Centre,1.024917642,"1,144",6302,"43.7178736,-79.44190759999998"
Stephen Leacock Community Centre,1.029839545,"1,986",6275,"43.7870239,-79.30183669999997"
Elmbank Community Centre,1.034746377,689,2638,"43.7349413,-79.58808579999999"
Chalkfarm Community Centre,1.044015873,121,1863,"43.7242326,-79.51203909999998"
North Kipling Community Centre,1.054351852,924,3637,"43.7595645,-79.58211670000003"
Bob Abate Community Recreation Centre,1.15341361,333,4044,"43.661438,-79.4199256"
Gosford PS,1.184375,135,2061,"43.76393239999999,-79.52187779999997"
Dennis R.Timbrell Resource Centre,1.312801418,"1,187",13133,"43.7180138,-79.33185709999998"
Blessed Kateri Tekakwitha CSS,1.657142857,84,565,"43.7863326,-79.33687429999998"
Falstaff Community Centre,1.974438406,749,5690,"43.7161744,-79.5065922"
Esther Shiner Stadium,2.185714286,10,540,"43.7749119,-79.4440176"
Jimmie Simpson Recreation Centre,2.501742424,"1,098",4495,"43.661372,-79.34479549999998"
L'Amoreaux Tennis Centre,3.332589286,27,2835,"43.8060827,-79.3064152"
